datetime,open,high,low,close,volume,return
20060718,0.31,0.32,0.3,0.31,9152040,0.03333333333333344
20060719,0.31,0.33,0.31,0.33,9527820,0.06451612903225823
20060720,0.33,0.34,0.32,0.32,4784580,-0.030303030303030276
20060721,0.31,0.31,0.29,0.3,6247500,-0.0625
20060724,0.31,0.33,0.31,0.33,8801520,0.10000000000000009
20060725,0.33,0.34,0.33,0.34,5520240,0.030303030303030276
20060726,0.34,0.34,0.33,0.34,4410000,0.0
20060727,0.34,0.36,0.34,0.34,6644640,0.0
20060728,0.35,0.38,0.35,0.38,7562760,0.11764705882352944
20060731,0.37,0.38,0.37,0.37,5000400,-0.02631578947368418
20060801,0.36,0.37,0.35,0.35,5616660,-0.05405405405405406
20060802,0.36,0.38,0.36,0.38,7093020,0.08571428571428585
20060803,0.38,0.42,0.37,0.41,8485020,0.07894736842105265
20060804,0.42,0.42,0.39,0.4,7158660,-0.024390243902438935
20060807,0.39,0.4,0.39,0.4,3964500,0.0
20060808,0.4,0.41,0.4,0.41,5946120,0.02499999999999991
20060809,0.42,0.43,0.4,0.41,5465640,0.0
20060810,0.4,0.4,0.39,0.4,7398420,-0.024390243902438935
20060811,0.37,0.4,0.37,0.39,13894260,-0.025000000000000022
20060814,0.39,0.4,0.39,0.39,7266960,0.0
20060815,0.4,0.43,0.39,0.43,8702940,0.10256410256410242
20060816,0.43,0.46,0.42,0.46,9514260,0.06976744186046524
20060817,0.45,0.46,0.44,0.45,7373820,-0.021739130434782594
20060818,0.45,0.46,0.43,0.46,6447180,0.022222222222222143
20060821,0.45,0.45,0.44,0.44,4681740,-0.0434782608695653
20060822,0.44,0.45,0.44,0.44,4472160,0.0
20060823,0.44,0.45,0.43,0.44,4242360,0.0
20060824,0.44,0.45,0.43,0.44,2462940,0.0
20060825,0.44,0.45,0.44,0.44,2216160,0.0
20060828,0.45,0.47,0.45,0.46,7378440,0.045454545454545414
20060829,0.46,0.48,0.46,0.48,6757380,0.04347826086956519
20060830,0.48,0.49,0.48,0.49,6364980,0.02083333333333326
20060831,0.49,0.49,0.47,0.48,4784280,-0.020408163265306145
20060901,0.48,0.48,0.46,0.47,5897520,-0.02083333333333337
20060905,0.47,0.48,0.46,0.48,4934820,0.02127659574468077
20060906,0.47,0.47,0.45,0.45,4475040,-0.06249999999999989
20060907,0.44,0.47,0.44,0.46,7091460,0.022222222222222143
20060908,0.47,0.47,0.45,0.46,4315560,0.0
20060911,0.45,0.47,0.45,0.47,5766840,0.021739130434782483
20060912,0.47,0.48,0.47,0.48,4571460,0.02127659574468077
20060913,0.48,0.49,0.48,0.48,4485780,0.0
20060914,0.48,0.49,0.48,0.48,3942060,0.0
20060915,0.49,0.5,0.48,0.49,6786300,0.02083333333333326
20060918,0.49,0.51,0.49,0.51,7366440,0.04081632653061229
20060919,0.51,0.51,0.49,0.5,6745260,-0.019607843137254943
20060920,0.5,0.52,0.5,0.52,4658040,0.040000000000000036
20060921,0.52,0.52,0.51,0.51,5244000,-0.019230769230769273
20060922,0.51,0.51,0.49,0.5,6256020,-0.019607843137254943
20060925,0.5,0.52,0.49,0.51,6494100,0.020000000000000018
20060926,0.51,0.52,0.5,0.5,4942620,-0.019607843137254943
20060927,0.5,0.52,0.5,0.5,5517600,0.0
20060928,0.48,0.49,0.48,0.49,6095280,-0.020000000000000018
20060929,0.5,0.5,0.49,0.49,3569880,0.0
20061002,0.49,0.49,0.48,0.48,5861640,-0.020408163265306145
20061003,0.47,0.48,0.46,0.47,7941300,-0.02083333333333337
20061004,0.47,0.52,0.47,0.52,13871700,0.1063829787234043
20061005,0.52,0.52,0.5,0.5,6152100,-0.03846153846153855
20061006,0.5,0.52,0.5,0.51,5661960,0.020000000000000018
20061009,0.51,0.56,0.51,0.55,8498400,0.07843137254901977
20061010,0.55,0.55,0.53,0.54,5962620,-0.018181818181818188
20061011,0.53,0.55,0.53,0.54,4552680,0.0
20061012,0.54,0.55,0.53,0.54,4002540,0.0
20061013,0.54,0.57,0.53,0.56,5569260,0.03703703703703698
20061016,0.56,0.57,0.55,0.56,4253520,0.0
20061017,0.55,0.56,0.54,0.54,5018580,-0.0357142857142857
20061018,0.55,0.55,0.52,0.53,7762440,-0.01851851851851849
20061019,0.52,0.54,0.52,0.54,4419540,0.018867924528301883
20061020,0.54,0.54,0.52,0.53,3502320,-0.01851851851851849
20061023,0.53,0.54,0.53,0.53,2641920,0.0
20061024,0.53,0.55,0.53,0.54,4812720,0.018867924528301883
20061025,0.55,0.55,0.54,0.55,3719160,0.0185185185185186
20061026,0.55,0.57,0.55,0.56,3557280,0.0181818181818183
20061027,0.56,0.58,0.53,0.54,5332320,-0.0357142857142857
20061030,0.54,0.56,0.54,0.55,3884880,0.0185185185185186
20061031,0.56,0.58,0.56,0.58,8779680,0.05454545454545445
20061101,0.57,0.58,0.53,0.54,10703220,-0.06896551724137923
20061102,0.54,0.55,0.53,0.53,7788540,-0.01851851851851849
20061103,0.54,0.54,0.53,0.54,5262420,0.018867924528301883
20061106,0.55,0.57,0.54,0.56,7040280,0.03703703703703698
20061107,0.56,0.57,0.56,0.57,5107020,0.01785714285714257
20061108,0.56,0.58,0.56,0.58,6153660,0.01754385964912286
20061109,0.59,0.6,0.58,0.59,9822600,0.01724137931034475
20061110,0.58,0.59,0.56,0.57,11882460,-0.03389830508474578
20061113,0.58,0.6,0.58,0.6,8064960,0.05263157894736836
20061114,0.6,0.61,0.59,0.61,5830860,0.016666666666666607
20061115,0.6,0.61,0.59,0.6,4708980,-0.016393442622950838
20061116,0.6,0.61,0.59,0.6,4107360,0.0
20061117,0.6,0.61,0.6,0.6,3487440,0.0
20061120,0.6,0.61,0.59,0.61,5846460,0.016666666666666607
20061121,0.61,0.61,0.6,0.6,3632040,-0.016393442622950838
20061122,0.6,0.61,0.6,0.61,2301600,0.016666666666666607
20061124,0.61,0.62,0.6,0.62,1392720,0.016393442622950838
20061127,0.61,0.62,0.58,0.59,5402040,-0.048387096774193616
20061128,0.59,0.6,0.58,0.6,4569360,0.016949152542372836
20061129,0.61,0.65,0.6,0.61,5384040,0.016666666666666607
20061130,0.61,0.62,0.6,0.62,4950000,0.016393442622950838
20061201,0.61,0.61,0.59,0.59,7405320,-0.048387096774193616
20061204,0.6,0.62,0.6,0.62,5970900,0.05084745762711873
20061205,0.61,0.61,0.6,0.61,6508440,-0.016129032258064502
20061206,0.61,0.61,0.6,0.61,4295940,0.0
20061207,0.61,0.61,0.59,0.59,4555440,-0.032786885245901676
20061208,0.59,0.6,0.58,0.59,5317920,0.0
20061211,0.59,0.61,0.59,0.6,4524000,0.016949152542372836
20061212,0.6,0.6,0.59,0.6,4842240,0.0
20061213,0.6,0.61,0.6,0.6,4356660,0.0
20061214,0.61,0.62,0.61,0.61,5806620,0.016666666666666607
20061215,0.62,0.63,0.61,0.62,6284880,0.016393442622950838
20061218,0.63,0.64,0.63,0.64,6317340,0.032258064516129004
20061219,0.63,0.65,0.63,0.64,4731840,0.0
20061220,0.64,0.65,0.64,0.64,2896020,0.0
20061221,0.64,0.64,0.63,0.63,3485820,-0.015625
20061222,0.63,0.63,0.61,0.62,3544020,-0.015873015873015928
20061226,0.62,0.63,0.61,0.62,2108760,0.0
20061227,0.62,0.63,0.62,0.63,2443680,0.016129032258064502
20061228,0.63,0.63,0.62,0.62,2000340,-0.015873015873015928
20061229,0.62,0.63,0.62,0.62,3622500,0.0
20070103,0.62,0.63,0.58,0.6,10489680,-0.032258064516129115
20070104,0.6,0.6,0.58,0.6,7238160,0.0
20070105,0.59,0.59,0.56,0.56,11334060,-0.06666666666666654
20070108,0.56,0.58,0.55,0.57,6166440,0.01785714285714257
20070109,0.57,0.57,0.55,0.55,7192140,-0.0350877192982455
20070110,0.55,0.59,0.54,0.58,10238400,0.05454545454545445
