datetime,open,high,low,close,volume,return
20060718,123.75,124.05,122.39,123.84,2753562,0.00397243615727616
20060719,124.18,126.26,124.15,125.84,2752022,0.016149870801033694
20060720,126.12,126.3,124.66,125.15,2591565,-0.005483153210425917
20060721,125.15,125.19,123.19,123.86,2268522,-0.010307630842988469
20060724,124.44,126.32,124.44,126.2,2146925,0.018892297755530363
20060725,125.98,136.64,125.13,126.55,2286897,0.0027733755942946914
20060726,126.59,127.45,126.14,126.81,1972135,0.0020545239035953955
20060727,127.33,127.69,126.2,126.64,1996817,-0.0013405882816812653
20060728,126.99,128.14,126.86,127.97,1715182,0.01050221099178783
20060731,127.68,127.96,126.55,127.75,1125545,-0.0017191529264671823
20060801,127.34,127.49,126.6,127.23,1421625,-0.004070450097847345
20060802,127.58,128.46,127.01,128.02,1540492,0.006209227383478844
20060803,127.33,128.55,127.15,128.33,1448747,0.0024214966411497674
20060804,129.06,129.43,127.48,128.21,1820227,-0.0009350892230967078
20060807,127.9,128.08,127.4,127.91,1040542,-0.0023399110833789427
20060808,128.1,128.46,126.95,127.63,2090562,-0.002189039168165152
20060809,128.2,128.6,126.61,126.89,1762655,-0.005798009872287069
20060810,126.53,127.68,126.28,127.31,1549910,0.003309953503034091
20060811,127.17,127.2,126.39,127.0,1092012,-0.0024350011782263703
20060814,127.63,128.16,126.92,127.18,1373825,0.0014173228346456845
20060815,128.22,128.92,127.9,128.58,1476125,0.01100802012895108
20060816,129.32,129.89,129.04,129.65,1505500,0.008321667444392444
20060817,129.57,130.37,128.86,129.9,1669077,0.0019282684149632967
20060818,130.19,130.69,129.59,130.65,1352930,0.005773672055427337
20060821,130.18,130.28,129.8,130.17,940320,-0.0036739380022963175
20060822,129.94,130.52,129.68,130.14,1383800,-0.00023046784973501655
20060823,130.18,139.32,129.19,129.65,1515897,-0.0037651759643458904
20060824,129.99,130.1,129.4,129.66,1315940,7.713073659854075e-05
20060825,129.64,130.25,129.55,129.85,991920,0.0014653709702299178
20060828,129.66,130.82,129.64,130.49,1273047,0.004928763958413684
20060829,130.49,130.83,129.81,130.63,1378355,0.001072879147827388
20060830,130.87,131.04,130.55,130.74,1126735,0.0008420730306974988
20060831,130.85,130.99,130.58,130.74,771832,0.0
20060901,131.14,131.58,130.84,131.44,1049235,0.005354137983784479
20060905,131.51,131.85,131.2,131.58,1041875,0.0010651247717590184
20060906,131.1,131.16,130.33,130.46,1201747,-0.0085119319045448
20060907,130.06,130.97,120.22,130.01,1926030,-0.003449333128928589
20060908,130.08,130.99,129.83,130.2,978300,0.001461426044150338
20060911,129.86,130.69,129.48,130.3,1591547,0.0007680491551460555
20060912,130.57,131.84,130.37,131.72,1520007,0.010897927858787293
20060913,131.62,132.45,131.42,132.16,1291457,0.0033404190707562176
20060914,131.96,132.26,130.9,132.26,1310845,0.0007566585956415572
20060915,132.34,132.39,131.01,131.9,1541122,-0.0027219113866625566
20060918,131.8,132.45,131.01,132.06,1432072,0.0012130401819558934
20060919,132.12,132.14,131.07,131.88,1999780,-0.0013630168105407403
20060920,132.24,133.4,130.46,132.44,1758095,0.00424628450106157
20060921,132.6,132.75,131.42,131.83,2101087,-0.004605859257021949
20060922,131.67,131.68,131.0,131.52,1505230,-0.002351513312599529
20060925,131.73,132.85,131.05,132.45,2021740,0.007071167883211604
20060926,132.49,134.0,132.4,133.47,1683930,0.00770101925254818
20060927,133.48,133.97,133.27,133.68,1753430,0.0015733872780401281
20060928,133.74,133.99,133.28,133.7,1319610,0.00014961101137034305
20060929,133.79,133.94,133.48,133.65,1061297,-0.0003739715781598818
20061002,133.54,133.83,132.49,133.1,1167827,-0.004115226337448652
20061003,132.89,133.79,132.65,133.35,1718912,0.0018782870022540088
20061004,133.22,135.0,133.08,134.95,1789805,0.011998500187476502
20061005,134.92,135.41,134.04,135.18,1352422,0.0017043349388663476
20061006,134.96,135.57,134.4,134.88,1499947,-0.002219263204616184
20061009,134.85,135.3,134.64,135.01,969095,0.0009638196915777719
20061010,135.11,135.45,134.84,135.11,1320405,0.0007406858751204393
20061011,134.84,135.84,134.3,135.12,2249647,7.401376656046565e-05
20061012,135.47,136.39,135.29,136.33,1323315,0.008955002960331582
20061013,136.16,136.71,135.32,136.58,1252730,0.0018337856671313268
20061016,136.52,137.05,136.42,136.75,876125,0.0012446917557473736
20061017,136.47,136.7,135.67,136.5,2060910,-0.001828153564899404
20061018,137.05,137.37,127.29,136.43,1887725,-0.0005128205128204222
20061019,136.41,136.88,136.23,136.8,1525177,0.0027120134867697487
20061020,136.81,137.5,136.0,136.83,1072425,0.0002192982456139525
20061023,136.56,137.8,136.39,137.3,1413740,0.003434919242855994
20061024,137.28,137.94,137.22,137.77,1215817,0.003423160961398386
20061025,137.74,138.43,137.51,138.37,1766522,0.004355084561225242
20061026,138.66,139.92,130.7,138.75,1527420,0.002746260027462588
20061027,138.61,138.97,128.27,137.81,1819192,-0.006774774774774728
20061030,137.66,138.2,130.78,137.86,1179027,0.00036281837312257537
20061031,138.07,138.26,137.25,137.89,1611272,0.00021761207021597784
20061101,138.22,138.31,136.72,136.9,1897577,-0.007179635941692464
20061102,136.51,137.01,136.36,136.75,1245885,-0.001095690284879547
20061103,137.26,137.99,136.2,136.44,1376340,-0.002266910420475332
20061106,136.96,138.28,136.67,138.0,1451127,0.011433597185576128
